# metr_deep independence matrix; built 2026-09-16T20:17:25Z by scripts/build_independence_matrix.py from promoted rows bound as evidence (cells) or negative (gaps); every cell cites row ids; a cell with no qualifying row says so; direct-lab cash, in-kind resources and access dependence are separate columns; ARC-era rows are labelled and belong to Alignment Research Center, not METR; differences between rows are observations, not evidence of motive
project_key,project,providers,direct_lab_cash,in_kind_resources,access_dependence,provider_authority,safe_harbor,personnel_disclosures,policy_version,bounded_gaps,evidence_rows,negative_rows
gpt-4-arc,"GPT-4 pre-deployment evaluation (ARC Evals era; Alignment Research Center, not METR)",OpenAI,undisclosed (no evidence row),undisclosed (no evidence row),undisclosed (no evidence row),undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),"[MDS0615,MDS0813,MDS0814]",0,3
anthropic-opus46-sabotage-review,External review of Anthropic Sabotage Risk Report (Claude Opus 4.6),Anthropic,undisclosed in the engagement documents [MDQ0107],"unredacted risk report and other review materials || draft risk report including proposed redactions; joint Slack; shared-document comments; 24+ written questions || pilot external review access [MDI0020,MDI0029,MDI0066]",pilot external review access [MDI0066],"publication review of METR's review || editorial control to redact sensitive information from METR's review || general ability to veto the publication of METR's review || redaction of sensitive information from METR's review; METR could indicate redactions [MDQ0023,MDQ0024,MDQ0027,MDQ0028,MDQ0107]",not stated in any evidence row,authors named; document states no personnel-conflict disclosure [MDQ0041],none in force [MDQ0179],"[MDS0640,MDS0676]",10,2
anthropic-rd-section-review,"Review of the automated R&D section, Anthropic Risk Report Feb 2026",Anthropic,undisclosed in the engagement documents [MDQ0109],undisclosed (no evidence row),Access: Anthropic shared additional non-public materials; METR also used non-public information from the prior [MDQ0109],Publication review by Anthropic with redaction control; general veto as a pilot; original-review PDF states no [MDQ0109],not stated in any evidence row,authors named; document states no personnel-conflict disclosure [MDQ0043],undisclosed (no evidence row),[MDS0671],2,1
anthropic-agent-monitoring,Red-teaming Anthropic internal agent monitoring systems,Anthropic,undisclosed in the engagement documents [MDQ0108],access to a subset of internal agent monitoring and security systems; staff available [MDI0021],"access to a subset of internal agent monitoring and security systems; staff available || access to internal monitoring/security systems and staff time [MDI0021,MDQ0108]",Report to Anthropic; only a redacted version shared with a subset of METR staff — METR's public post does not  [MDQ0108],not stated in any evidence row,David Rein named; document states no personnel-conflict disclosure [MDQ0042],undisclosed (no evidence row),"[MDS0621,MDS0670]",3,2
anthropic-incident-2026-09,Anthropic cybersecurity-evaluation incidents investigation (agreement 2026-09-09),Anthropic,"undisclosed in the engagement documents [MDQ0094,MDI0072,MDP0245]","transcripts beyond the incident window; employee interviews; confidential information || wide-ranging access (transcripts; employees) || transcripts beyond incident window; Anthropic employees permitted to share confidential information || access to all transcripts; sampling access to the relevant models (as of 2026-07-30 statement) [MDI0019,MDI0058,MDI0071,MDI0072]","transcripts beyond the incident window; employee interviews; confidential information || wide-ranging access (transcripts; employees) || transcripts beyond incident window; Anthropic employees permitted to share confidential information || access to all transcripts; sampling access to the relevant models (as of 2026-07-30 statement) [MDI0019,MDI0058,MDI0071,MDI0072]",undisclosed (no evidence row),not stated in any evidence row,"undisclosed (no evidence row); relationships [MDR0032,MDR0079,MDR0117]","Conflict of interest policy (version 1.0) Last updated August 28, 2026 || version 1.0 last updated August 28, 2026 (published PDF; not stated as applied on the engagement page) [MDQ0095,MDQ0181]","[MDS0608,MDS0610,MDS0645,MDS0717,MDS0741,MDS0742,MDS0743,MDS0745,MDS0746,MDS0747,MDS0748,MDS0750,MDS0752,MDS0753,MDS0820,MDS0828]",10,16
claude-3-5-sonnet,Claude 3.5 Sonnet evaluation (2024),Anthropic,undisclosed in the engagement documents [MDQ0111],undisclosed (no evidence row),"Report describes evaluation methodology and results. Access, independence note, NDA, compensation, redaction a [MDQ0111]",undisclosed on this page [MDQ0111],not stated in any evidence row,undisclosed (no evidence row); relationships [MDR0115],undisclosed (no evidence row),[MDS0668],2,1
anthropic-mythos,Claude Mythos Preview / Mythos 5.1 pre-deployment testing,Anthropic,undisclosed (no evidence row),"pre-deployment testing; Anthropic-supplied capability information || pre-release testing || pre-deployment model testing access || pre-release testing access [MDI0024,MDI0025,MDI0059,MDI0060]","pre-deployment model testing access || pre-release testing access [MDI0059,MDI0060]",undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row); relationships [MDR0116],undisclosed (no evidence row),[MDS0617],5,1
claude-2-arc,"Claude 2 / earlier snapshot audits (ARC Evals era; Alignment Research Center, not METR)",Anthropic,undisclosed (no evidence row),undisclosed (no evidence row),undisclosed (no evidence row),undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),[MDS0616],0,1
amazon-nova,Amazon Nova Premier / Nova 2 FMSF evaluations,Amazon,undisclosed (no evidence row),"lab-supplied transcripts, logs, scoring rubrics, safety-judge notes || lab-supplied evaluation results and detailed RE-Bench transcripts || independent review (evaluation access) || third-party assessment [MDI0022,MDI0023,MDI0063,MDI0064,MDI0065,MDI0073]","lab-supplied transcripts, logs, scoring rubrics, safety-judge notes || lab-supplied evaluation results and detailed RE-Bench transcripts || independent review (evaluation access) || undisclosed on this document [MDI0022,MDI0023,MDI0063,MDI0073]",undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row); relationships [MDR0118],undisclosed (no evidence row),"[MDS0614,MDS0713,MDS0782]",7,3
amazon-fmsf,Amazon Frontier Model Safety Framework feedback,Amazon,undisclosed in the engagement documents [MDQ0101],engineering / policy feedback (acknowledgement) [MDI0062],undisclosed (no evidence row),undisclosed on this issuer document [MDQ0101],not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),,2,0
gdm-fsf,Google DeepMind Frontier Safety Framework input,Google DeepMind,undisclosed (no evidence row),engineering / policy expertise (acknowledgement) [MDI0061],undisclosed (no evidence row),undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),"[MDS0701,MDS0702,MDS0703,MDS0727,MDS0818]",1,5
policy-assistance-2024,Assistance establishing first frontier-safety policies (2024 annual report),Google DeepMind; Anthropic; Amazon (credited),undisclosed in the engagement documents [MDQ0110],engineering / policy assistance (METR's wording) [MDI0044],undisclosed (no evidence row),undisclosed in this report [MDQ0110],not stated in any evidence row,"names Research engineers including David Rein, Neev Parikh, Seraphina Nix, William Saunders; no CoI table [MDQ0047]; relationships [MDR0046]",undisclosed (no evidence row),"[MDS0144,MDS0348,MDS0851,MDS0930,MDS1025]",4,5
