lane,slice,wave,slug,status,launched_utc,pid,log,done_utc,rows_out,review,promoted_utc,note
MD11,S1,1,daf-filed-grants,promoted,2026-09-16T09:36:56Z,70608,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD11-20260916T093656Z.log,2026-09-16T06:50:37Z,20,research/agents-2026-09-16/MDREVIEW-MD11-xhigh-added.md,2026-09-16T12:45:56Z,"brief research/grok-briefs/MD11-daf-filed-grants.md materialized at S0; elements C02.E3;C02.E5;C03.E3; launched via tools/lanes.py on account=machinegod6969-proton effort=medium max_turns=None; review {'DIFFERS': 16, 'CONFIRMED': 52}; PROMOTE changes=68 skipped=0 unverifiable=0; lane csv sha256 ee886453e18ec4644ff02443110ededa16be2f8c8473299c0952d55004ac3056; xhigh re-run launched 2026-09-16T09:36:56Z pid=70608 on account=machinejesus420-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 20}; PROMOTE changes=20 skipped=0 unverifiable=0; lane csv sha256 9deec1084450c92b56c616eca0c36528cf2ea487e90cea3305ace00c00076594"
MD12,S1,1,arc-spinout-provenance,promoted,2026-09-16T09:36:58Z,71165,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD12-20260916T093658Z.log,2026-09-16T07:01:48Z,4,research/agents-2026-09-16/MDREVIEW-MD12-xhigh-added.md,2026-09-16T12:48:16Z,"brief research/grok-briefs/MD12-arc-spinout-provenance.md materialized at S0; elements C02.E3;C06.E1; launched via tools/lanes.py on account=machinejesus420-gmail effort=medium max_turns=None; review {'CONFIRMED': 32, 'DIFFERS': 2}; PROMOTE changes=34 skipped=0 unverifiable=0; lane csv sha256 1fce430421a1b2c38a894ebf8ab3c7288e7387bc4898f20d5e3b95f7efab631e; xhigh re-run launched 2026-09-16T09:36:58Z pid=71165 on account=kbassphiladelphia-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 4}; PROMOTE changes=4 skipped=0 unverifiable=0; lane csv sha256 df6cc64192493ab38919c1349387a2f3a59cfaf6da983354c2a64e7e109485f5"
MD13,S1,1,grant-database-sweep,promoted,2026-09-16T09:37:00Z,71502,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD13-20260916T093700Z.log,2026-09-16T07:11:17Z,4,research/agents-2026-09-16/MDREVIEW-MD13-xhigh-added.md,2026-09-16T12:50:23Z,"brief research/grok-briefs/MD13-grant-database-sweep.md materialized at S0; elements C01.E5;C02.E2; launched via tools/lanes.py on account=machinejesus420-proton effort=medium max_turns=None; review {'CONFIRMED': 54, 'DIFFERS': 8}; PROMOTE changes=62 skipped=0 unverifiable=0; lane csv sha256 1b94249243676609095ccbe0c46c2387103335f75bf145ad9ab10d59dad9d698; xhigh re-run launched 2026-09-16T09:37:00Z pid=71502 on account=ruokalalokkim-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 4}; PROMOTE changes=4 skipped=0 unverifiable=0; lane csv sha256 605924e8c4a06d32276d12c79a88eda8f79daee69cb6c248b8e938bf1a96da09"
MD14,S1,1,six-month-chronology,promoted,2026-09-16T09:31:54Z,53516,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD14-20260916T093154Z.log,2026-09-16T07:11:20Z,19,research/agents-2026-09-16/MDREVIEW-MD14-xhigh-added.md,2026-09-16T12:52:26Z,"brief research/grok-briefs/MD14-six-month-chronology.md materialized at S0; elements C01.E1;C01.E2;C01.E3;C01.E4; launched via tools/lanes.py on account=machinejesus420420-proton effort=medium max_turns=None; review {'CONFIRMED': 39, 'DIFFERS': 6}; PROMOTE changes=45 skipped=0 unverifiable=0; lane csv sha256 b6653b8b950218211b46b5fb05ce2f86fdd49c83979cb24d21501e9d1f7f6529; xhigh re-run launched 2026-09-16T09:31:54Z pid=53516 on account=aikoegawabass-gmail under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 19}; PROMOTE changes=19 skipped=0 unverifiable=0; lane csv sha256 e9cf4e8d5e25c06c991119281bbe5eedea01413e9fb0e00febc82c84a946c49d"
MD15,S2,2,audacious-partners,promoted,2026-09-16T09:44:32Z,94834,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD15-20260916T094432Z.log,2026-09-16T07:41:40Z,1,research/agents-2026-09-16/MDREVIEW-MD15-xhigh-added.md,2026-09-16T12:54:38Z,brief research/grok-briefs/MD15-audacious-partners.md materialized at S0; elements C06.E2;C09.E1; launched via tools/lanes.py on account=aikoegawabass-gmail effort=medium max_turns=None; review {'CONFIRMED': 102}; PROMOTE changes=102 skipped=0 unverifiable=0; lane csv sha256 1f2600d48c6cc90e3b13192456e85b3dd0891dffc741a4acd45c9ef3ded28117; xhigh re-run launched 2026-09-16T09:44:32Z pid=94834 on account=machinegod42069-gmail under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 104}; PROMOTE changes=2 skipped=102 unverifiable=0; lane csv sha256 ead0f3e1d406c2642caa89770f65b30e700f46894a430642b1116f51fc59071b; review {'CONFIRMED': 1}; PROMOTE changes=1 skipped=0 unverifiable=0; lane csv sha256 6c24789822f527102bfc600120cb85fb951900786920833c4daeada533f41013
MD16,S2,2,canary-award-structure,promoted,2026-09-16T09:32:02Z,54005,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD16-20260916T093202Z.log,2026-09-16T07:51:21Z,11,research/agents-2026-09-16/MDREVIEW-MD16-xhigh-added.md,2026-09-16T12:55:59Z,"brief research/grok-briefs/MD16-canary-award-structure.md materialized at S0; elements C06.E2; launched via tools/lanes.py on account=machinegod6969-proton effort=medium max_turns=None; review {'CONFIRMED': 31, 'DIFFERS': 1}; PROMOTE changes=32 skipped=0 unverifiable=0; lane csv sha256 10bdc84c0a4c0703ba8aa62f86dea71253850d90594df509f37a2e95ec2e2d52; xhigh re-run launched 2026-09-16T09:32:02Z pid=54005 on account=ruokalalokkim-gmail under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 11}; PROMOTE changes=11 skipped=0 unverifiable=0; lane csv sha256 32d097c5282a8853c2483f16068a766704bd7dea775abe1e3ff0ea08a34cef8c"
MD17,S2,2,rand-canary-receipts,promoted,2026-09-16T09:34:12Z,61732,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD17-20260916T093412Z.log,2026-09-16T08:03:44Z,11,research/agents-2026-09-16/MDREVIEW-MD17-xhigh-added.md,2026-09-16T12:56:25Z,"brief research/grok-briefs/MD17-rand-canary-receipts.md materialized at S0; elements C06.E1;C06.E2; launched via tools/lanes.py on account=machinejesus420-proton effort=medium max_turns=None; review {'CONFIRMED': 43, 'DIFFERS': 3}; PROMOTE changes=46 skipped=0 unverifiable=0; lane csv sha256 ddbe6d46fae2645ff1eb7cd13a68cc7589ed1764715c431785f3fb7b7a1ed0c9; xhigh re-run launched 2026-09-16T09:34:12Z pid=61732 on account=ruokalalokkim-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 11}; PROMOTE changes=11 skipped=0 unverifiable=0; lane csv sha256 057727e33b48539e105cd491dfbdf8f2efef2adb0f2bcb3bc5ba74c0ce00ce76"
MD18,S2,2,metr-canary-commitment,promoted,2026-09-16T09:34:22Z,62180,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD18-20260916T093422Z.log,2026-09-16T07:51:25Z,30,research/agents-2026-09-16/MDREVIEW-MD18-xhigh.md,2026-09-16T11:07:34Z,"brief research/grok-briefs/MD18-metr-canary-commitment.md materialized at S0; elements C06.E1;C06.E2;C01.E2;C01.E3; launched via tools/lanes.py on account=machinejesus420420-proton effort=medium max_turns=None; review {'CONFIRMED': 24, 'DIFFERS': 1}; PROMOTE changes=25 skipped=0 unverifiable=0; lane csv sha256 5c5a8a30ed548ece02196fe0274e0387abf963a0aa6ece658f15237c7471bc6b; xhigh re-run launched 2026-09-16T09:34:22Z pid=62180 on account=kbassphiladelphia-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 28, 'DIFFERS': 2}; PROMOTE changes=5 skipped=25 unverifiable=0; lane csv sha256 73a5468c505b6100a94aff78e06dd4f1192906f8704a8064f11c3cbfec7165d0"
MD19,S2,2,uk-aisi-contracts,promoted,2026-09-16T08:19:06Z,4035924,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD19-20260916T081906Z.log,2026-09-16T09:42:27Z,31,research/agents-2026-09-16/MDREVIEW-MD19.md,2026-09-16T09:42:27Z,"brief research/grok-briefs/MD19-uk-aisi-contracts.md materialized at S0; elements C06.E3;C04.E1; launched via tools/lanes.py on account=ruokalalokkim-gmail effort=xhigh max_turns=None; relaunched 2026-09-16T08:18:38Z at effort=xhigh on Kevin's instruction (medium run stopped via lanes.py stop; medium CSV saved aside in the session scratchpad, not promoted); review {'CONFIRMED': 26, 'DIFFERS': 5}; PROMOTE changes=31 skipped=0 unverifiable=0; lane csv sha256 551032ad8f46ef5a9cb3de5572c8625a3420d40c09a2fc825d0bb215a75f5984"
MD20,S2,2,eu-ai-office-contract,promoted,2026-09-16T09:44:39Z,95240,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD20-20260916T094439Z.log,2026-09-16T07:43:14Z,2,research/agents-2026-09-16/MDREVIEW-MD20-xhigh-added.md,2026-09-16T12:58:10Z,"brief research/grok-briefs/MD20-eu-ai-office-contract.md materialized at S0; elements C06.E3; launched via tools/lanes.py on account=team-getvur effort=medium max_turns=None; review {'DIFFERS': 1, 'CONFIRMED': 22}; PROMOTE changes=23 skipped=0 unverifiable=0; lane csv sha256 070d4e58b609a48f8d9ae791c9037438c5957cd4491f25d12966da33e00ea107; xhigh re-run launched 2026-09-16T09:44:39Z pid=95240 on account=machinegod69420-gmail under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'DIFFERS': 1, 'CONFIRMED': 22}; PROMOTE changes=0 skipped=23 unverifiable=0; lane csv sha256 aeb2adc38af52dcf7b58feb40eb7e45b5cba341f91b84ae13fd2654b9e91959b; review {'CONFIRMED': 2}; PROMOTE changes=2 skipped=0 unverifiable=0; lane csv sha256 f1a1f5b38dd488b4ab33b2669beede2066d98ffe7a6104c4dc32a2a9b391a343"
MD21,S2,2,us-public-sector-awards,promoted,2026-09-16T09:45:46Z,99644,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD21-20260916T094546Z.log,2026-09-16T07:54:06Z,3,research/agents-2026-09-16/MDREVIEW-MD21-xhigh-added.md,2026-09-16T12:20:04Z,"brief research/grok-briefs/MD21-us-public-sector-awards.md materialized at S0; elements C06.E3; launched via tools/lanes.py on account=aikoegawabass-gmail effort=medium max_turns=None; review {'CONFIRMED': 28, 'DIFFERS': 1}; PROMOTE changes=29 skipped=0 unverifiable=0; lane csv sha256 b85f54ede796153a0a95fe7812231c32225f1d199e27d5c54e757313b40fe3d4; xhigh re-run launched 2026-09-16T09:45:46Z pid=99644 on account=kevinnbass-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 3}; PROMOTE changes=3 skipped=0 unverifiable=0; lane csv sha256 f53eb2a6c13647e40a8f0f0328db8d8e251fc4e0f249b448692fc3cd54879df3"
MD22,S2,2,intermediary-returns,promoted,2026-09-16T09:45:50Z,99951,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD22-20260916T094550Z.log,2026-09-16T07:49:08Z,72,research/agents-2026-09-16/MDREVIEW-MD22-xhigh-added.md,2026-09-16T12:59:12Z,"brief research/grok-briefs/MD22-intermediary-returns.md materialized at S0; elements C02.E3;C02.E5;C06.E1; launched via tools/lanes.py on account=aikoegawabass-proton effort=medium max_turns=None; review {'CONFIRMED': 58, 'DIFFERS': 4}; PROMOTE changes=62 skipped=0 unverifiable=0; lane csv sha256 61225511e2c11dd6dee2677abb350bb20f5b8e70fc895d217a9f114f67c4c313; xhigh re-run launched 2026-09-16T09:45:50Z pid=99951 on account=team-getvur under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 72}; PROMOTE changes=72 skipped=0 unverifiable=0; lane csv sha256 613a5a9ec017a046cda10265b0e3a42bb8cbd87439281c76ebff900769b6b5ad"
MD23,S2,2,restrictions-and-purposes,promoted,2026-09-16T09:45:56Z,100186,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD23-20260916T094556Z.log,2026-09-16T08:03:45Z,3,research/agents-2026-09-16/MDREVIEW-MD23-xhigh-added.md,2026-09-16T13:00:39Z,"brief research/grok-briefs/MD23-restrictions-and-purposes.md materialized at S0; elements C02.E2;C01.E3; launched via tools/lanes.py on account=kabasshouse-proton effort=medium max_turns=None; review {'CONFIRMED': 81, 'DIFFERS': 1}; PROMOTE changes=82 skipped=0 unverifiable=0; lane csv sha256 d38c85bf750364629c65bd7d9c8459a38825f61fd9646c31d9ececc1b3959ec1; xhigh re-run launched 2026-09-16T09:45:56Z pid=100186 on account=aikoegawabass-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 3}; PROMOTE changes=3 skipped=0 unverifiable=0; lane csv sha256 262155a82afd4a574ef9a8b0b3ea2326b1a49ac8195cab8d9f6b90928cf818b1"
MD24,S2,2,funding-page-chronology,promoted,2026-09-16T08:18:35Z,4033139,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD24-20260916T081835Z.log,2026-09-16T10:26:11Z,93,research/agents-2026-09-16/MDREVIEW-MD24.md,2026-09-16T10:26:11Z,"brief research/grok-briefs/MD24-funding-page-chronology.md materialized at S0; elements C09.E1;C09.E3;C03.E1; launched via tools/lanes.py on account=kbassphiladelphia-proton effort=xhigh max_turns=None; relaunched 2026-09-16T08:18:38Z at effort=xhigh on Kevin's instruction (medium run stopped via lanes.py stop; medium CSV saved aside in the session scratchpad, not promoted); review {'CONFIRMED': 93}; PROMOTE changes=93 skipped=0 unverifiable=0; lane csv sha256 1be673f340751c763d74b55d80c3f19fd4b33ed35824e4cce870f40ee123a0c2"
MD25,S2,2,revenue-runway-reconciliation,promoted,2026-09-16T09:46:02Z,100547,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD25-20260916T094602Z.log,2026-09-16T07:40:38Z,7,research/agents-2026-09-16/MDREVIEW-MD25-xhigh-added.md,2026-09-16T13:02:14Z,"brief research/grok-briefs/MD25-revenue-runway-reconciliation.md materialized at S0; elements C01.E3;C01.E4;C02.E4; launched via tools/lanes.py on account=kevinnbass-proton effort=medium max_turns=None; review {'CONFIRMED': 18, 'DIFFERS': 6}; PROMOTE changes=24 skipped=0 unverifiable=0; lane csv sha256 d682d6bc729158bc84aaba02db9a2ef5c4d98cf4347812eb947e6db96660a0f0; xhigh re-run launched 2026-09-16T09:46:02Z pid=100547 on account=kabasshouse-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 7}; PROMOTE changes=7 skipped=0 unverifiable=0; lane csv sha256 8e28f6e2cc6f277162f93b72660939fd553875908edfb2a59f0116cd7c3467de"
MD26,S3,3,tokens-credits-compute,promoted,2026-09-16T08:57:01Z,4158019,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD26-20260916T085701Z.log,2026-09-16T10:35:06Z,106,research/agents-2026-09-16/MDREVIEW-MD26.md,2026-09-16T10:35:06Z,brief research/grok-briefs/MD26-tokens-credits-compute.md materialized at S0; elements C04.E1; launched 2026-09-16T08:57:01Z via tools/lanes.py on account=machinegod42069-proton effort=xhigh max_turns=None under A4 (launch-ahead; promotion waits for slice order); review {'CONFIRMED': 106}; PROMOTE changes=106 skipped=0 unverifiable=0; lane csv sha256 8effa6e886bf6d8281ffc0005d30ac28fa3a18c864a5abd1f9dff691ab81db07
MD27,S3,3,access-and-project-terms,promoted,2026-09-16T08:57:10Z,4158675,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD27-20260916T085710Z.log,2026-09-16T10:31:31Z,74,research/agents-2026-09-16/MDREVIEW-MD27.md,2026-09-16T10:31:31Z,brief research/grok-briefs/MD27-access-and-project-terms.md materialized at S0; elements C04.E2;C04.E3;C08.E3; launched 2026-09-16T08:57:10Z via tools/lanes.py on account=machinegod6969-proton effort=xhigh max_turns=None under A4 (launch-ahead; promotion waits for slice order); review {'CONFIRMED': 74}; PROMOTE changes=74 skipped=0 unverifiable=0; lane csv sha256 c3d3c8fd7d9aa0d97cee511127d1af20d3d008316c0e4ab84b6ca1d9d06a60e6
MD28,S3,3,frontier-risk-report-coi,promoted,2026-09-16T09:05:52Z,4184565,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD28-20260916T090552Z.log,2026-09-16T10:39:11Z,71,research/agents-2026-09-16/MDREVIEW-MD28.md,2026-09-16T10:39:11Z,brief research/grok-briefs/MD28-frontier-risk-report-coi.md materialized at S0; elements C08.E1;C08.E2; launched 2026-09-16T09:05:52Z via tools/lanes.py on account=kbassphiladelphia-proton effort=xhigh max_turns=None under A4 (launch-ahead; promotion waits for slice order); review {'CONFIRMED': 71}; PROMOTE changes=71 skipped=0 unverifiable=0; lane csv sha256 4e6d88dc603203152ee0ba2b76b1bb6041af70952a0e728c844cdf1e0ad2bb17
