# metr_deep MDQ table project_coi.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:10Z; ids MDQNNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,project,provider,policy_version,terms,disclosure_recusal,provider_authority,personnel_conflicts,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,in_kind_type,quantity_or_value,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDQ0011,METR confidentiality policy (high-level public description),,"high-level description February 17, 2026",six confidentiality levels from public to internally siloed; nonpublic models discussed only by codename,,,,B,MDQ,C04.E2,METR confidentiality post: six confidentiality levels; nonpublic-model information limited to researchers directly involved,,,,,,,,,,,,,,2026-02-17,day,,,,,,,,issuer statements,GET https://metr.org/blog/2026-02-17-how-we-protect-confidential-information/,https://metr.org/blog/2026-02-17-how-we-protect-confidential-information/,"Our confidentiality policy assigns information—including (but not limited to) nonpublic access, lab relationships, policy work, and funding—to our six confidentiality levels, ranging from public to internally siloed, based on sensitivity.",2026-09-16T09:29:13Z,METR describes an internal confidentiality policy; signed NDA forms are not in this post,1,,Post paraphrases and excerpts the policy; it is not the signed lab NDA.,CONFIRMED,,Issuer policy description. Not treated as the NDA of any named engagement. primary=metr-org-protect-confidential-20260916T092913Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B10; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0012,"AEF-1 Minimum Operating Conditions (standard, not a METR–lab contract)",AI Evaluator Forum,"AEF-1 Version 1, updated December 4, 2025",AEF-1 1.5 Safe harbor (Recommendation),,,,B,MDQ,C04.E2,"AEF-1 v1 (Dec 4, 2025): recommendation that the provider give legal safe harbor within agreed scope",,,,,,,,,,,,,,2025-12-04,day,,,,,,,,issuer statements,GET https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,1.5 Safe harbor Recommendation: The system provider provided legal safe harbor for actions by the evaluator that are within the agreed-upon scope of the evaluation.,2026-09-16T09:37:57Z,forum standard; not itself a METR–lab agreement,1,https://aievaluatorforum.org/initiatives/minimum-operating-conditions,A standard's recommendation is not a grant of safe harbor on any METR engagement. FRR records 1.5 as Not requested.,CONFIRMED,,Policy/standard document. Terms are not copied onto engagements that do not cite them. primary=aef-1-pdf-20260916T093757Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B11; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0013,"AEF-1 Minimum Operating Conditions (standard, not a METR–lab contract)",AI Evaluator Forum,"AEF-1 Version 1, updated December 4, 2025",AEF-1 4.6 Redactions (Requirement),,,,B,MDQ,C08.E3,AEF-1 v1 4.6: provider must not have authority to redact results to conceal concerning findings,,,,,,,,,,,,,,2025-12-04,day,,,,,,,,issuer statements,GET https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,4.6 Redactions Requirement: The system provider did not have authority to redact results to conceal concerning findings.,2026-09-16T09:37:57Z,forum standard requirement; FRR self-grade for 4.6 is See notes (silent exit / limited redaction),1,,,CONFIRMED,,"Standard text. Not treated as the redaction clause of HF, Sol, or Anthropic cyber. primary=aef-1-pdf-20260916T093757Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B12; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDQ0014,METR conflict of interest policy,,"version 1.0, last updated August 28, 2026",use of free compute credits is acceptable; no contingent payment for company-identifying risk assessments,,,,B,MDQ,C04.E2,"COI policy v1.0: free compute credits acceptable; payment for company-identifying assessments, if ever, must not be contingent on results",,,,,,,,,,,,,,2026-08-28,day,,,,,,,,issuer statements,GET https://metr.org/coi-policy.pdf,https://metr.org/coi-policy.pdf,Use of free compute credits is acceptable.,2026-09-16T09:19:22Z,"policy permits free compute credits; does not state per-engagement NDA, redaction, or exit rights",1,https://metr.org/blog/2026-02-17-how-we-protect-confidential-information/,"Policy dated August 28, 2026; engagements before that date predate this version (STATE.md).",CONFIRMED,,Policy-level term. Personnel COI process is MD28's lane; this row records only the credits/payment sentences relevant to access terms. primary=metr-org-coi-policy-20260916T091922Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B13; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0015,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,,agreement specified companies are not permitted to train on METR evaluation tasks; ZDR requested if possible,,,,B,MDQ,C04.E2,FRR Appendix A: METR says the agreement specified companies are not permitted to train on METR evaluation tasks,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/risk-report-feb-mar-2026.pdf,"Regardless of ZDR, our agreement specified that companies are not permitted to train on our evaluation tasks.",2026-09-16T09:30:49Z,METR describes a contractual restriction; the signed agreement PDF is not published (Task D),1,,,CONFIRMED,,FRR described agreement term. Signed instrument not on metr.org sitemap this fetch. primary=metr-org-frr-pdf-20260916T093049Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B14; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0016,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,,AEF-1 4.6 fulfilled? See notes,,silent exit; redact certain findings; cannot redact the top-level redaction summary sentence,,C,MDQ,C08.E3,FRR AEF-1 4.6 See notes: remaining participants could redact certain findings but not the top-level redaction summary sentence; silent exit,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Participants could exit the pilot silently. Participants that remained could redact certain findings, but could not redact the top-level redaction summary sentence.",2026-09-16T09:19:28Z,FRR grants remaining participants limited redaction and silent-exit; withholds redaction of the top-level summary sentence,1,https://metr.org/risk-report-feb-mar-2026.pdf,,CONFIRMED,,FRR only. This sentence is not applied to HF or Anthropic cyber. primary=metr-org-frontier-risk-report-20260916T091928Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#C01; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0017,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,,silent exit before publication-approved materials are finalized,,either party could end the collaboration; METR would treat the company as having never participated,,C,MDQ,C08.E3,FRR Silent exit option: either the company or METR could end the collaboration before publication-approved materials,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/risk-report-feb-mar-2026.pdf,"either the company or METR could end the collaboration. If either party exercised this option, METR would treat the company as having never participated:",2026-09-16T09:30:49Z,exit-before-publication authority held by either party on this pilot,1,,METR states it is not disclosing whether any company exited partway through.,CONFIRMED,,FRR only. primary=metr-org-frr-pdf-20260916T093049Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#C02; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0018,OpenAI / Hugging Face incident investigation,OpenAI,,,,OpenAI was able to redact any non-public information from this post,,C,MDQ,C08.E3,HF: OpenAI held a redaction right over any non-public information in METR's post,,,,,,,,,,,,,,2026-08-26,day,,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"Beyond that, OpenAI was able to redact any non-public information from this post.",2026-09-16T09:19:59Z,OpenAI held a redaction right on this public METR/Redwood post,1,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,,CONFIRMED,,"HF document. Redaction summary statement on the same PDF: OpenAI redacted no additional information that was important to METR's conclusions, except where explicitly noted. primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#C03; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDQ0019,OpenAI / Hugging Face incident investigation,OpenAI,,,,one-directional pre-publication review of METR's draft; METR did not see OpenAI's report first,,C,MDQ,C08.E3,HF: METR did not see OpenAI's own report prior to publication; OpenAI gave feedback/redactions on METR's drafts,,,,,,,,,,,,,,2026-08-26,day,,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"OpenAI wrote their own report, informed in part by our investigation. We did not see OpenAI’s report prior to publication, and it was out of scope for this investigation to confirm claims in that report or the earlier Black Hat presentation.",2026-09-16T09:19:59Z,OpenAI reviewed METR drafts; METR did not pre-see OpenAI's report,1,,,CONFIRMED,,"HF only. Timeline of OpenAI feedback rounds is in the same PDF appendix (Aug 2, 12, 20, 24). primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#C04; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDQ0020,GPT-5.6 Sol evaluation,OpenAI,,,,comms and legal team required review and approval of this post,,C,MDQ,C08.E3,GPT-5.6 Sol: OpenAI comms and legal required review and approval of the METR post (pre-publication approval),,,,,,,,,,,,,,2026-06-26,day,,,,,,,,project documents,GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,OpenAI’s comms and legal team required review and approval of this post.,2026-09-16T09:21:25Z,pre-publication approval authority stated for this Sol post,1,,,CONFIRMED,,"Sol post. This is approval of the public post, not a silent-exit clause; silent exit is not stated here. primary=metr-org-gpt-5-6-sol-20260916T092125Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#C05; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDQ0021,GPT-5 (gpt-5-thinking) evaluation,OpenAI,,,,comms and legal team required review and approval of this post,,C,MDQ,C08.E3,GPT-5 report: OpenAI comms and legal required review and approval of the post,,,,,,,,,,,,,,2025-08-07,day,,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-report/,https://metr.org/evaluations/gpt-5-report/,OpenAI’s comms and legal team required review and approval of this post (the latter is not true of any other METR reports shared on our website).,2026-09-16T09:21:49Z,pre-publication approval stated for this GPT-5 report,1,,,CONFIRMED,,GPT-5 report's parenthetical is this document's claim as of its date. Later Sol and Codex-Max posts also state comms/legal approval on their own pages. primary=metr-org-gpt-5-report-20260916T092149Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#C06; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0022,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,,,,no right to approve this industry-level publication (as METR describes the agreements),,C,MDQ,C08.E3,FRR: pilot agreements did not give participating companies the right to approve the industry-level publication,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/risk-report-feb-mar-2026.pdf,Our pilot agreements with participating companies did not give them the right to approve this industry-level publication.,2026-09-16T09:30:49Z,METR states the FRR agreements withheld final-publication approval from participants,1,,The signed agreements themselves are not published; this is METR's description in footnote 5 of the PDF.,CONFIRMED,,FRR described withhold of approval rights. Signed text: Task D. primary=metr-org-frr-pdf-20260916T093049Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#C07; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0023,External review of Anthropic Sabotage Risk Report (Claude Opus 4.6),Anthropic,,mutual nondisclosure agreement; publication review process by Anthropic,,publication review of METR's review,,B,MDQ,C04.E2;C08.E3,Opus 4.6 sabotage review: mutual nondisclosure agreement; Anthropic publication review of METR's review,,,,,,,,,,,,,,2026-03-12,day,,,,,,,,project documents,GET https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf appendix Detail on our review process,https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf,"As a result of our mutual nondisclosure agreement, our review went through a publication review process by Anthropic.",2026-09-16T09:21:34Z,this PDF states a mutual NDA and Anthropic publication review of METR's review,1,https://metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/,,CONFIRMED,,Sabotage-review PDF only. Not copied from FRR silent-exit or HF redaction sentences. primary=metr-org-opus-4-6-sabotage-review-pdf-20260916T092134Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B15; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0024,External review of Anthropic Sabotage Risk Report (Claude Opus 4.6),Anthropic,,Anthropic editorial control primarily to redact sensitive information; METR able to indicate if any redactions happened,,editorial control to redact sensitive information from METR's review,,B,MDQ,C08.E3,Opus 4.6 sabotage review: Anthropic editorial control primarily to redact sensitive information; METR could indicate redactions,,,,,,,,,,,,,,2026-03-12,day,,,,,,,,project documents,GET https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf appendix Detail on our review process,https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf,Anthropic's editorial control was primarily in place to redact sensitive information from our review (METR would have the ability to indicate if any redactions happened).,2026-09-16T09:21:34Z,editorial control for redaction stated in this PDF; METR states one minor rephrase was the only redaction,1,,,CONFIRMED,,Sabotage-review PDF only. Not copied from FRR AEF-1 3.4 or HF tone-feedback sentences. primary=metr-org-opus-4-6-sabotage-review-pdf-20260916T092134Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B16; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0025,gpt-oss-120b Preparedness methodology review,OpenAI,,nondisclosure agreement requiring the post be shared with OpenAI for review and approval,,OpenAI review and approval of this post,,B,MDQ,C04.E2;C08.E3,gpt-oss review: nondisclosure agreement required sharing the post with OpenAI for review and approval,,,,,,,,,,,,,,2025-10-23,day,,,,,,,,project documents,GET https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/,https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/,"Our review was conducted under a nondisclosure agreement, which required us to share this post with OpenAI for review and approval.",2026-09-16T09:29:15Z,NDA and pre-publication review/approval stated on this gpt-oss post,1,,,CONFIRMED,,gpt-oss post only. Same-family NDA sentence also appears on GPT-5/Sol/Codex-Max; each is quoted from its own document. primary=metr-org-gpt-oss-review-20260916T092915Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B17; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0026,gpt-oss-120b Preparedness methodology review,OpenAI,,one material edit after publication review: remove reference to differences vs an earlier draft because OpenAI considers pre-release drafts confidential,,asked to remove a reference to a pre-release draft,,B,MDQ,C08.E3,gpt-oss footnote: OpenAI asked METR to remove a reference to a pre-release draft as confidential,,,,,,,,,,,,,,2025-10-23,day,,,,,,,,project documents,GET https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/ footnote 1,https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/,"We were asked to remove this reference, as OpenAI considers the content of pre-release drafts to be confidential.",2026-09-16T09:29:15Z,publication review produced one material edit as this footnote states; METR says conclusions were not changed,1,,,CONFIRMED,,gpt-oss footnote 1. Not copied from GPT-5's parenthetical. primary=metr-org-gpt-oss-review-20260916T092915Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B18; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0027,External review of Anthropic Sabotage Risk Report (Claude Opus 4.6),Anthropic,,pilot process; Anthropic allowed METR to speak publicly about the fact of the review throughout,,general ability to veto the publication of METR's review,,C,MDQ,C08.E3,Opus 4.6 sabotage review: Anthropic had a general ability to veto publication of METR's review,,,,,,,,,,,,,,2026-03-12,day,,,,,,,,project documents,GET https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf appendix Detail on our review process,https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf,"Anthropic also had the general ability to veto the publication of METR's review, and allowed us to speak publicly about the fact that we were reviewing the Sabotage Risk Report throughout the duration of the entire review process.",2026-09-16T09:21:34Z,this PDF grants Anthropic a general publication veto on METR's review; METR says it aims to restrict future review to redactions only,1,,,CONFIRMED,,Sabotage-review PDF only. FRR withheld final-report approval; HF held non-public redaction. Those sentences are not copied here. primary=metr-org-opus-4-6-sabotage-review-pdf-20260916T092134Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#C08; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0028,External review of Anthropic Sabotage Risk Report (Claude Opus 4.6),Anthropic,,,,redaction of sensitive information from METR's review; METR could indicate redactions,,C,MDQ,C08.E3,Opus 4.6 sabotage review: METR could indicate redactions; PDF says the only redaction was one minor rephrase,,,,,,,,,,,,,,2026-03-12,day,,,,,,,,project documents,GET https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf appendix Detail on our review process,https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf,Those are the only redactions that happened.,2026-09-16T09:21:34Z,PDF states METR rephrased one minor issue under publication review and that those are the only redactions that happened,1,,The preceding sentences identify the rephrase (scale/training between Opus 4.5 and 4.6) as the only redaction.,CONFIRMED,,Sabotage-review PDF only. primary=metr-org-opus-4-6-sabotage-review-pdf-20260916T092134Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#C09; review=research/agents-2026-09-16/MDREVIEW-MD27.md
