# metr_deep MDF table funding_events.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:09Z; ids MDFNNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,ledger,money_type,amount_usd,currency,from_entity,to_entity,date,date_precision,period,payment_status,purpose_restriction,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,intermediary,relationship_type,start_date,end_date,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDF0011,paid_filed,filed_grant,20000,,Silicon Valley Community Foundation,METR,2024,year,,filed as granted,Sciences,S0 seed import,MDF,C02.E3;C02.E5,,,,,,,,,,,,,,,,,,,,DAF sponsor filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml,"SVCF 990 TY2024 Schedule I, recipient EIN 99-1219864; fills in M65 (supersedes) | Matches Jaan Tallinn's public donation ledger to the dollar: 2024-07-23 + 2024-07-24 SFF-spec $10,000 + $10,000 METR (research/tallinn-donations-ledger-2026-09-13.csv). Tallinn is an Anthropic Series B investor and boa",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M83; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#13; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0012,paid_filed,filed_grant,4000000,,Vanguard Charitable Endowment Program,METR,FY2025 (2024-07-01 to 2025-06-30),interval,,filed as granted,FOR RECIPIENT'S EXEMPT PURPOSE,S0 seed import,MDF,C02.E3;C02.E5;C03.E3,,,,,,,,,,,,,,,,,,,,DAF sponsor filings,,https://projects.propublica.org/nonprofits/organizations/232888152/202621329349306657/IRS990ScheduleI,"Schedule I row 15424, EIN 99-1219864; fills in M66 (supersedes); largest single 990-disclosed grant to METR found; DAF, donor not disclosed",2026-09-14T00:00:00Z,,,,donor-advised sponsor; the account principal is not disclosed by any public filing,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M87; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#14; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0013,transfers_regrants,recommendation,220000,,Longview Philanthropy (public fund),"METR (then ARC Evals, division of ARC)",2023,year,,,General support,S0 seed import,MDF,C02.E5,,,,,,,,,,,,,,,,,,,,press,,https://www.givingwhatwecan.org/charities/arc-evals,"""Longview Philanthropy recommended a grant of $220,000 from its public fund in 2023""; longview.org/grants/ returns 404; longview.org/artificial-intelligence/ profiles METR with no amount",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M59; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#15; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0014,transfers_regrants,regrant,"EUR 128,000",EUR,Effektiv Spenden (Giving Fund: Safeguarding the future),ARC Evals / METR,2023-08,month,,,Evaluation of state-of-the-art AI systems to identify and minimize risks,S0 seed import,MDF,C02.E5,,,,,,,,,,,,,,,,,,,,issuer statements,,https://effektiv-spenden.org/en/safeguarding-the-future/,"""METR (formerly ARC Evals) ... (128.000 €) Grants were made in August 2023""; euro amount, not USD",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M61; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#16; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0015,commitments,commitment,undisclosed,,individuals from Jane Street,METR,undated,,,,general support,S0 seed import,MDF,C02.E2,,,,,,,,,,,,,,,,,,,,issuer statements,,https://metr.org/about,named on metr.org/about and funding update; no individual names or amounts public,2026-09-14T00:00:00Z,,,,"METR names individuals, not the firm; no individual is named and no amount is public",CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M75; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#17; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0016,in_kind_contracts,contract,undisclosed,,AI Security Institute (UK),METR,undated,,,,general support,S0 seed import,MDF,C06.E3;C04.E1,,,,,,,,,,,,,,,,,,,,issuer statements,,https://metr.org/about,"named on metr.org/about as a funder; contractsfinder notice 4113c27b is the generic AISI Challenge Fund (£50,000-£200,000 per project), no METR award found; RETRY 2026-09-13: aisi.gov.uk/grants and /grants/example-projects contain no METR string; Contracts Finder OCDS and v2 APIs (keyword ""Model Eva",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M74; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#18; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0017,in_kind_contracts,contract,"undisclosed share of EUR 1,167,484 (LOT-0003 joint tender by 3 firms; EUR as written in TED)",,European AI Office,METR,2025-12-15,day,,,technical assistance on assessing loss-of-control risks,S0 seed import,MDF,C06.E3,,,,,,,,,,,,,,,,,,,,procurement records,,https://ted.europa.eu/en/notice/-/detail/864574-2025;https://ted.europa.eu/en/notice/864574-2025/xml;https://metr.org/about,"""a small part of our income is from a technical assistance contract with the European AI Office""; TED contract award notice 864574-2025 XML read directly 2026-09-13 (native IP; HTML and XML both HTTP 200): buyer European Commission DG CNECT, ""ARTIFICIAL INTELLIGENCE ACT: TECHNICAL ASSISTANCE FOR AI",2026-09-14T00:00:00Z,,,,consortium award; METR's share is not established by this row,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M76; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#19; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0018,,,,,individuals from Jane Street,METR (Model Evaluation and Threat Research),undated,,,"acknowledged as a supporter; amount, date, vehicle and money type not disclosed by the source",,A,MDF,C02.E2,individuals from Jane Street,unnamed natural-person class,,,,named supporter class (no individual named),,,,,,,,,,,,,,issuer statements,GET https://metr.org/about (live HTML; funding section),https://metr.org/about,"METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding through The Audacious Project (a funding initiative housed at TED); to individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt",2026-09-16T05:34:01Z,,,,,DIFFERS,,"Live re-verification of S0 seed MDF0015 against metr.org/about on 2026-09-16T05:34:01Z; this capture is not copied from the seed. METR names 'individuals from Jane Street' as a class of natural persons and does not name Jane Street the firm as a donor. Amount, date, vehicle and individual identities are not stated. Farhi, Ralston, Field and Newman are listed later as 'many others, such as' and are not identified here as Jane Street individuals (MD08 scope). Provenance: issuer page saved as research/primary/MD07-jane-street-individuals/metr-about-20260916T053401Z.html. Limit: a thank-you is not a filing and is not a payment.; audit-1 2026-09-16: lane said money_type=commitment; audit-2 2026-09-16: lane said ledger=commitments; audit-3 2026-09-16: lane said payment_status=; lane=research/grok-out/MD07-jane-street-individuals.csv#1; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDF0019,,,,,individuals from Jane Street,METR (Model Evaluation and Threat Research),2026-08-14,day,,"acknowledged as a supporter; amount, date, vehicle and money type not disclosed by the source",,A,MDF,C02.E2,individuals from Jane Street,unnamed natural-person class,,,,named supporter class (no individual named),,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/ (live HTML),https://metr.org/blog/2026-08-14-funding-update/,"Thank you to everyone who has supported METR over the years: The Audacious Project, through which we received our first institutional-scale funding; individuals from Jane Street; foundations like the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences and the Packard Foundation; and m",2026-09-16T05:34:01Z,,,,,DIFFERS,,"Live capture of METR's 2026-08-14 funding-update thank-you. Same class wording as /about: 'individuals from Jane Street'. METR names individuals, not the firm. The post's ~$71 million commitments sentence is a separate fact (C01) and is not an amount for this class. Saved metr-funding-update-20260916T053401Z.html. Limit: no names, amounts, dates or vehicles for the Jane Street class.; audit-1 2026-09-16: lane said money_type=commitment; audit-2 2026-09-16: lane said ledger=commitments; audit-3 2026-09-16: lane said payment_status=; audit-4 2026-09-16: lane said date_precision=day; lane=research/grok-out/MD07-jane-street-individuals.csv#2; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDF0020,commitments,commitment,350000,USD,The David and Lucile Packard Foundation,Model Evaluation and Threat Research,2026,year,12,awarded per Packard's catalog; paid or approved-for-future-payment status not determinable until the TY2025 or TY2026 990-PF is posted,for general support,A,MDF,C02.E2;C01.E2;C01.E3,Packard Foundation grant 2026-79050 to Model Evaluation and Threat Research,grantmaker-award,METR,grant_id=2026-79050; grantee_id=30794; wp_postid=2703989,,grant,2026,,,,,,"Funding Areas: Just Societies, Democracy, Rights, and Governance",,,,,grant,funder database award listing; payment not shown on this page,issuer statements,GET https://www.packard.org/grantee/model-evaluation-and-threat-research/,https://www.packard.org/grantee/model-evaluation-and-threat-research/,"1 Grants / $350,000",2026-09-16T05:32:20Z,"1 grant listed: year 2026, term 12, amount $350,000, funding areas Just Societies, Democracy, Rights, and Governance, purpose for general support",1,https://www.packard.org/grant/2026-79050/,"Page gives award year and term in months, not a day-dated instrument or a paid/unpaid flag. Award is not a receipt.",DIFFERS,,"Canonical grantee URL. Rendered fields: Year 2026; Term 12; Amount $350,000; Funding Areas Just Societies, Democracy, Rights, and Governance; Purpose for general support; Visit Website https://metr.org/. JSON-LD datePublished=2026-07-06T06:09:41+00:00 dateModified=2026-09-14T06:08:32+00:00; body class postid-2703989. Response SHA-256=78ac4a4a48462d8dda06b99db1011f270d257b5ba33d115fe4e2a61d466e6d4e. money_type=commitment because the page lists an award, not a 990 paid line. This lane has no source connecting the $350,000 to METR's approximately $71 million Feb-Aug 2026 total, so it is not counted inside that denominator. Alignment Research Center is a separate legal entity and is not merged here. Saved primary: research/primary/MD02-packard-grant/packard.org_grantee_model-evaluation-and-threat-research_20260916T053220Z.html; audit-1 2026-09-16: lane said ledger=packard.org grantee page; audit-2 2026-09-16: lane said date_precision=year; audit-3 2026-09-16: lane said payment_status=; lane=research/grok-out/MD02-packard-grant.csv#A01; review=research/agents-2026-09-16/MDREVIEW-MD02.md"
MDF0021,,commitment,350000,USD,The David and Lucile Packard Foundation,Model Evaluation and Threat Research,2026,year,12,,for general support,A,MDF,C02.E2;C01.E2;C01.E3,Packard grant permalink 2026-79050,,,grant_id=2026-79050; wp_postid=2703984,,grant,2026,,,,,,,,,,,grant,funder grant permalink; payment not shown,issuer statements,GET https://www.packard.org/grant/2026-79050/,https://www.packard.org/grant/2026-79050/,"<p class=""ge_list-item-grant__amount"">$350,000</p>",2026-09-16T05:36:05Z,"Grant permalink shows amount $350,000 and purpose for general support; year/term/funding areas not rendered on this URL",1,,"Grant permalink HTML omits Year, Term, and Funding Areas; those fields are on the grantee page and in grant-directory-pro/v1/grants.",CONFIRMED,,JSON-LD datePublished=2026-07-06T05:04:38+00:00; og:description=for general support; postid-2703984. Response SHA-256=dcb847efa43f7849e40b07a1ad3720a57d8cd29db1aaa1cdfe778d76d6681275. API award_term=12 grant_fiscal_year=2026. Saved primary: research/primary/MD02-packard-grant/packard.org_grant_2026-79050_20260916T053605Z.html; lane=research/grok-out/MD02-packard-grant.csv#A04; review=research/agents-2026-09-16/MDREVIEW-MD02.md
MDF0022,,,,,Schmidt Sciences,Model Evaluation and Threat Research (METR),,,,"acknowledged as a supporter; amount, date, vehicle, money type and paying legal entity not disclosed by the source",,B,MDF,C02.E2,Schmidt Sciences named METR supporter,,,,,named foundation supporter,,,,,,,,,,,,,"name only; no amount, date, or legal-payer EIN on the page",self-statements,GET https://metr.org/about Funding section,https://metr.org/about,"foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org",2026-09-16T05:33:57Z,named without amount/date/payer EIN,1,"Schmidt Sciences award letter or TY2025 990-PF Part XV line, if filed","Recipient names the brand Schmidt Sciences; does not state amount, date, purpose restriction, payment status, or which legal entity (LLC vs Fund EIN 46-3460261) paid. Hillspire / Schmidt Futures / Family Foundation / Operating Foundation names are not on this page.",DIFFERS,,Same naming on https://metr.org/blog/2026-08-14-funding-update/ (fetched same window). This is not the funder's own grant listing. Amount is undisclosed; do not infer a share of the approximately $71 million. Primary metr-about.html-20260916T053357Z.; audit-1 2026-09-16: lane said payment_status=; lane=research/grok-out/MD04-schmidt-sciences.csv#8; review=research/agents-2026-09-16/MDREVIEW-MD04.md
MDF0023,,,,,David Farhi,"METR (Model Evaluation and Threat Research, Inc.)",2026-09-16,day,,"acknowledged as a supporter; amount, date, vehicle and money type not disclosed by the source",,A,MDF,C02.E2,David Farhi named METR individual supporter (live about page),individual,,,,named supporter,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about funding section,https://metr.org/about,"and many others, such as David Farhi, Geoff Ralston, Dylan Field and Steve Newman.",2026-09-16T05:33:55Z,"named on live about page; no amount, date, or vehicle for this individual",1,METR donor disclosure or Schedule B identities if ever public,"Issuer names supporters without per-person amount, date, vehicle, or payment status.",DIFFERS,,Independent live fetch saved as metr-about-20260916T053355Z.html. Listed among 'many others'. Employee-direction ban is on the same page.; audit-1 2026-09-16: lane said payment_status=; audit-2 2026-09-16: lane said date_precision=day; lane=research/grok-out/MD08-named-individual-donors.csv#1; review=research/agents-2026-09-16/MDREVIEW-MD08.md
MDF0024,,,,,David Farhi,"METR (Model Evaluation and Threat Research, Inc.)",2026-08-14,day,,"acknowledged as a supporter; amount, date, vehicle and money type not disclosed by the source",,A,MDF,C02.E2,David Farhi named on METR 2026-08-14 funding update,individual,,,,named supporter,,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"and many others, including David Farhi, Geoff Ralston, Dylan Field and Steve Newman.",2026-09-16T05:33:55Z,named as a supporter over the years; org-wide ~$71M six-month commitments are not attributed to this person,1,,"The $71 million figure is organization-wide commitments, not this individual's gift.",DIFFERS,,"Independent live fetch saved as metr-funding-update-20260916T053355Z.html. Same page states In the last 6 months, METR raised commitments of around $71 million. Do not treat this naming as a dated gift inside that window.; audit-1 2026-09-16: lane said payment_status=; audit-2 2026-09-16: lane said date_precision=day; lane=research/grok-out/MD08-named-individual-donors.csv#2; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
MDF0025,,,,,Geoff Ralston,"METR (Model Evaluation and Threat Research, Inc.)",2026-09-16,day,,"acknowledged as a supporter; amount, date, vehicle and money type not disclosed by the source",,A,MDF,C02.E2,Geoff Ralston named METR individual supporter (live about page),individual,,,,named supporter,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about funding section,https://metr.org/about,"and many others, such as David Farhi, Geoff Ralston, Dylan Field and Steve Newman.",2026-09-16T05:33:55Z,"named on live about page; no amount, date, or vehicle for this individual",1,METR donor disclosure or Schedule B identities if ever public,"Issuer names supporters without per-person amount, date, vehicle, or payment status.",DIFFERS,,Independent live fetch saved as metr-about-20260916T053355Z.html. Listed among 'many others'. Employee-direction ban is on the same page.; audit-1 2026-09-16: lane said payment_status=; audit-2 2026-09-16: lane said date_precision=day; lane=research/grok-out/MD08-named-individual-donors.csv#3; review=research/agents-2026-09-16/MDREVIEW-MD08.md
