# metr_deep MDI table in_kind_access.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:09Z; ids MDINNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,provider,to_entity,project,in_kind_type,quantity_or_value,terms,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDI0011,OpenAI,METR,GPT-5.6 Sol evaluation,API access to final and railfree checkpoints; raw chain-of-thought via API,,"Access to GPT-5.6 Sol, both the final checkpoint and a railfree version, via API; raw chain-of-thought via API; Codex harness setup guide; updated FRR questionnaire answers",A,MDI,C04.E2,GPT-5.6 Sol pre-deployment evaluation: final and railfree checkpoints plus raw CoT via API,,,,OpenAI,,,,,,,,,2026-06-26,day,,,,,,,,,,project documents,GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,"For this evaluation, OpenAI provided: Access to GPT-5.6 Sol, both the final checkpoint and a ‘railfree’ version, via API Access to GPT-5.6 Sol with raw chain-of-thought via API",2026-09-16T09:21:25Z,API + raw CoT + railfree checkpoint as stated on this post,1,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,,CONFIRMED,,"Sol access terms are this engagement's. NDA/approval is recorded on Task B from the same post, not copied from GPT-5. primary=metr-org-gpt-5-6-sol-20260916T092125Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A05; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0012,OpenAI,METR,GPT-5 (gpt-5-thinking) evaluation,pre-release API access; full reasoning traces for some completions; background information,access four weeks prior to release,four weeks prior; full reasoning traces for some completions; requested background information list,A,MDI,C04.E2,GPT-5 pre-deployment: four weeks' access and some full reasoning traces,,,,OpenAI,,,,,,,,,2025-08-07,day,,,,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-report/,https://metr.org/evaluations/gpt-5-report/,We received access to GPT-5 four weeks prior to its release (see METR’s access to GPT-5 for details about our level of access).,2026-09-16T09:21:49Z,"four-week pre-release access plus some reasoning traces, as this report states",1,https://cdn.openai.com/gpt-5-system-card.pdf,,CONFIRMED,,GPT-5 access window is this report's. Not copied onto o3's 15-day or GPT-4.5's 7-day windows. primary=metr-org-gpt-5-report-20260916T092149Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A06; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDI0013,OpenAI,METR,GPT-5.1-Codex-Max evaluation,early-checkpoint API access; reasoning traces; compaction scaffolding,two weeks; access from November 4th,early checkpoint Nov 4; reasoning-trace endpoint Nov 5; compaction scaffolding available,A,MDI,C04.E2,GPT-5.1-Codex-Max: two-week access to an early checkpoint with reasoning traces,,,,OpenAI,,,2025-11-04,2025-11-18,,,,,2025-11-19,day,,,,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-1-codex-max-report/,https://metr.org/evaluations/gpt-5-1-codex-max-report/,"On November 4th, METR received access to an early checkpoint of GPT-5.1-Codex-Max. On November 5th, METR received access to an endpoint of this early checkpoint with vis",2026-09-16T09:21:59Z,two-week window as this METR report states,1,,Quote truncated at 300 characters at a word boundary inside the Nov 5 sentence.,CONFIRMED,,"Codex-Max dates are this report's, not GPT-5's four weeks. primary=metr-org-gpt-5-1-codex-max-report-20260916T092159Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A07; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0014,OpenAI,METR,OpenAI o1-preview and o1-mini evaluation,pre-release API access,,o1-mini Aug 28; o1-preview Sep 3; evaluations until Sep 9,A,MDI,C04.E2,o1-mini / o1-preview: API access Aug 28 / Sep 3; evaluations until Sep 9,,,,OpenAI,,,2024-08-28,2024-09-09,,,,,2024-09-12,day,,,,,,,,,,project documents,GET https://metr.org/evaluations/openai-o1-preview-report/,https://metr.org/evaluations/openai-o1-preview-report/,"METR received access to OpenAI o1-mini on August 28th and to OpenAI o1-preview on September 3rd, and evaluated these models for autonomous capabilities and AI R&D ability until September 9th.",2026-09-16T09:21:53Z,access dates as this METR report states,1,https://cdn.openai.com/o1-system-card.pdf,This METR report does not state chain-of-thought access for o1-preview (see Task D).,CONFIRMED,,o1 dates are this engagement's. OpenAI card (A row via o1card) independently states o1-preview-early Aug 26. primary=metr-org-o1-preview-report-20260916T092153Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A08; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDI0015,OpenAI,METR,OpenAI o1-preview and o1-mini evaluation,pre-release API access,,o1-preview-early Aug 26; o1-mini Aug 28; o1-preview Sep 3; until Sep 9,A,MDI,C04.E2,OpenAI o1 system card: METR access dates including o1-preview-early Aug 26,,,,OpenAI,,,2024-08-26,2024-09-09,,,,,2024-09-12,day,,,,,,,,,,issuer statements,GET https://cdn.openai.com/o1-system-card.pdf,https://cdn.openai.com/o1-system-card.pdf,"They received access to o1-preview-early on August 26th, o1-mini on August 28th, and o1-preview on September 3rd.",2026-09-16T09:25:18Z,OpenAI card states three access dates; METR's own report omits o1-preview-early,1,https://metr.org/evaluations/openai-o1-preview-report/,,CONFIRMED,,"Issuer statement for this engagement. Difference from METR's report is recorded, not reconciled by inference. primary=openai-o1-system-card-20260916T092518Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A09; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0016,OpenAI,METR,OpenAI o3 and o4-mini evaluation,pre-release checkpoint access; subset of internal evaluation results,three weeks prior to release (METR); 15 days (OpenAI card),earlier checkpoints; context and technical information; subset of internal benchmark results,A,MDI,C04.E2,o3 / o4-mini: earlier checkpoints three weeks prior plus a subset of internal eval results,,,,OpenAI,,,,,,,,,2025-04-16,day,,,,,,,,,,project documents,GET https://metr.org/evaluations/openai-o3-report/,https://metr.org/evaluations/openai-o3-report/,"METR received access to earlier checkpoints of o3 and o4-mini from OpenAI three weeks prior to model release. To assist with our evaluations, OpenAI also provided us with some context and technical information about o3 and o4-mini, as well as a subset of the model’s benchmark results from their inte",2026-09-16T09:21:56Z,"three-week pre-release access plus subset of internal results, as this METR report states",1,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,OpenAI's card says this work spanned 15 days; METR's report says three weeks prior. Both wordings are recorded on their own rows.,CONFIRMED,,"o3 window is this engagement's, not GPT-5's four weeks. primary=metr-org-o3-report-20260916T092156Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A10; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0017,OpenAI,METR,GPT-4.5 evaluation,pre-release checkpoint access; subset of internal evaluation results,7 days (OpenAI card); a week prior (METR post),earlier checkpoint; subset of internal evaluation results; context to interpret results,A,MDI,C04.E2,GPT-4.5: OpenAI card states 7 days' access to an earlier checkpoint plus a subset of internal results,,,,OpenAI,,,,,,,,,2025-02-27,day,,,,,,,,,,issuer statements,GET https://cdn.openai.com/gpt-4-5-system-card-2272025.pdf,https://cdn.openai.com/gpt-4-5-system-card-2272025.pdf,"METR evaluated an earlier checkpoint of GPT-4.5 and was given access to that checkpoint for 7 days, with OpenAI sharing a subset of their internal evaluation results and providing context",2026-09-16T09:25:44Z,7-day window as OpenAI's card states,1,https://metr.org/blog/2025-02-27-gpt-4-5-evals/,,CONFIRMED,,Issuer wording for this engagement. METR post says 'a week prior' (row uses that post as next_document). primary=openai-gpt45-card-20260916T092544Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A11; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDI0018,OpenAI,Alignment Research Center,GPT-4 pre-deployment evaluation (ARC Evals),early access to models,,early access as part of expert red teaming; power-seeking / autonomous replication evals,A,MDI,C04.E2,GPT-4 system card: early access granted to Alignment Research Center (ARC Evals),,,,OpenAI,,,,,,,,,2023-03-14,month,,,,,,,,,,issuer statements,GET https://cdn.openai.com/papers/gpt-4-system-card.pdf,https://cdn.openai.com/papers/gpt-4-system-card.pdf,We granted the Alignment Research Center (ARC) early access to the models as a part of our expert red teaming efforts in order to enable their team to assess risks from power-seeking behavior.,2026-09-16T09:25:12Z,early access named; METR did not yet exist as the named entity (ARC Evals era),1,https://metr.org/blog/2023-03-18-update-on-recent-evals/,"Card names ARC, not METR. Model tested was not identical to the release model (card).",CONFIRMED,,Legal entities unmerged: Alignment Research Center is not METR. Access terms of GPT-4/ARC are not copied onto later METR–OpenAI evals. primary=openai-gpt4-system-card-20260916T092512Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A12; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDI0019,Anthropic,METR,Anthropic cybersecurity-evaluation incidents investigation,transcripts beyond the incident window; employee interviews; confidential information,,wide-ranging access; transcripts beyond the window; employees permitted to share confidential information; eight weeks initial,A,MDI,C04.E2,Anthropic Sep 9 2026: signed agreement grants wide-ranging access including transcripts beyond the window and employees,,,,Anthropic,,signed investigation agreement,2026-09-09,,,,,,2026-09-09,day,"initial term eight weeks, extendable by mutual agreement",,,,,,,,,issuer statements,GET https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"We have signed an agreement with METR to conduct an independent investigation of these incidents. Our agreement grants METR wide-ranging access, including to transcripts beyond the window in which the incidents occurred, and to Anthropic employees, who will be permitted to share confidential informa",2026-09-16T09:24:53Z,access as Anthropic's page states; METR output of this investigation not on metr.org this fetch,1,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,"Page does not state model-query level, payment, redaction, or publication rights (Task D).",CONFIRMED,,Anthropic's stated terms for this agreement only. Not copied from the OpenAI/HF investigation. primary=anthropic-cyber-incidents-20260916T092453Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A13; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDI0020,Anthropic,METR,External review of Anthropic Sabotage Risk Report (Claude Opus 4.6),unredacted risk report and other review materials,,unredacted version shared for review; Feb 11 and Mar 3 versions,A,MDI,C04.E2,Anthropic Opus 4.6 Sabotage Risk Report review: unredacted report and other materials shared,,,,Anthropic,,,2026-02-11,2026-03-03,,,,,2026-03-12,day,,,,,,,,,,project documents,GET https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf,https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf,Anthropic shared an unredacted version of their Sabotage Risk Report and other materials with us for our review.,2026-09-16T09:21:34Z,unredacted report access as this METR review PDF states,1,https://metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/,,CONFIRMED,,"Access is to Anthropic's report text, not to a live model API. Terms are this review's. primary=metr-org-opus-4-6-sabotage-review-pdf-20260916T092134Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A14; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0021,Anthropic,METR,Red-teaming Anthropic internal agent monitoring systems,access to a subset of internal agent monitoring and security systems; staff available,three weeks; one METR staff member (David Rein),substantial access to relevant internal systems and information; staff available to answer questions,A,MDI,C04.E2,"Anthropic internal agent-monitoring red-team: three weeks, substantial internal-system access",,,,Anthropic,,,,,,,,,2026-03-25,day,three weeks in February–March 2026,,,,,,,,,project documents,GET https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/,https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/,"a METR staff member (David Rein) recently spent three weeks red-teaming a subset of Anthropic’s internal agent monitoring and security systems, many of which are described in the Opus 4.6 Sabotage Risk Report",2026-09-16T09:21:45Z,three-week internal-systems access as this post states,1,,The 26-page report to Anthropic is not published; a redacted version was shared with a subset of METR staff (same post).,CONFIRMED,,Internal-systems red-team; not the later Sep 2026 cyber-incident agreement. primary=metr-org-anthropic-agent-monitoring-20260916T092145Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A15; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDI0022,Amazon,METR,Nova Premier Frontier Model Safety Framework evaluation (arXiv 2507.06260),"lab-supplied transcripts, logs, scoring rubrics, safety-judge notes",,independent review of Amazon-supplied results; six representative RE-Bench transcripts; multi-agent logs,A,MDI,C04.E2,Amazon Nova Premier: METR reviewed RE-Bench transcripts and multi-agent logs Amazon submitted,,,,Amazon,,,,,,,,,2025-07-07,day,,,,,,,,,,project documents,GET https://arxiv.org/pdf/2507.06260,https://arxiv.org/pdf/2507.06260,"Independent auditors (Nemesys Insights for CBRN and Model Evaluation & Threat Research (METR) for Automated AI R&D) reviewed results on test sets, scoring rubrics, and safety-judge notes to verify our internal findings.",2026-09-16T09:29:09Z,review of Amazon-supplied materials; not described as live model-API access,1,,Paper does not state METR had query access to Nova Premier itself.,CONFIRMED,,Amazon Nova Premier engagement only. Not copied onto Nova 2.0 Lite. primary=amazon-nova-premier-20260916T092909Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A16; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDI0023,Amazon,METR,Nova 2.0 Lite Frontier Model Safety Framework evaluation (arXiv 2601.19134),lab-supplied evaluation results and detailed RE-Bench transcripts,,Amazon provided evaluation results including detailed transcripts from RE-Bench runs,A,MDI,C04.E2,Amazon Nova 2.0 Lite: METR given evaluation results including detailed RE-Bench transcripts,,,,Amazon,,,,,,,,,2026-01-27,day,,,,,,,,,,project documents,GET https://arxiv.org/pdf/2601.19134,https://arxiv.org/pdf/2601.19134,"we provided the Model Evaluation and Threat Research (METR) group with our evaluation results, including detailed transcripts from RE-Bench runs. Their independent assessment is provided below",2026-09-16T09:29:11Z,transcripts and results shared; METR assessment embedded in the paper,1,,"Paper does not state live model-API access, NDA, or redaction rights (Task D).",CONFIRMED,,Nova 2.0 Lite engagement only. Not copied from Nova Premier. primary=amazon-nova2-20260916T092911Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A17; review=research/agents-2026-09-16/MDREVIEW-MD27.md
