# metr_deep commitment reconciliation; derived from promoted rows only by scripts/build_commitment_reconciliation.py at 2026-09-16T20:17:25Z; seed and lineage context rows excluded; money types never summed across type; regenerate after every promotion
kind,row_id,counterparty,money_type,amount_usd,currency,date,period,decision,reason,url
excluded,MDP0039,Survival and Flourishing Fund (Jaan Tallinn),recommendation,120000 + 428000 matching pledge,USD,SFF-2025,,excluded,Two figures on one row are not summed. Matching pledge is not a payment. Round 2025 is not the last-6-months-to-2026-08-14 window.,https://survivalandflourishing.fund/
excluded,MDP0040,Survival and Flourishing Fund,recommendation,220000,USD,2025-02-15,,excluded,"Page last published 2025-02-15. Adjacent $1,210,000 column is not added. Recommendation not commitment.",https://survivalandflourishing.fund/2025/further-opportunities
excluded,MDP0041,Founders Pledge Inc,filed_grant,184000,USD,2024,,excluded,TY2024 filed grant is not a 2026 commitment. A filed_grant is not a commitment.,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523079349303352_public.xml
excluded,MDP0042,Silicon Valley Community Foundation,filed_grant,20000,USD,2024,,excluded,TY2024 filed grant. DAF sponsor is not the account principal.,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml
excluded,MDP0043,Vanguard Charitable Endowment Program,filed_grant,4000000,USD,FY2025 (2024-07-01 to 2025-06-30),FY2025 ending 2025-06-30,excluded,Live ProPublica Schedule I HTML is a JS shell without grant rows; gt990datalake S3 XML 404; IRS 2026_TEOS_XML_05A.zip (521158638 bytes) listing does not contain OBJECT_ID 202621329349306657. Amount is a seed-held known amount quoted from S0-seed-import.csv.,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI
excluded,MDP0044,Longview Philanthropy (public fund),recommendation,220000,USD,2023,,excluded,Recommendation not payment. 2023 period.,https://www.givingwhatwecan.org/charities/arc-evals
excluded,MDP0045,Effektiv Spenden (Giving Fund: Safeguarding the future),regrant,128000,EUR,2023-08,,excluded,Live page HTTP 403 this host. Quote is from Wayback 20250126120532 capture. EUR is not USD. Never convert and add.,https://web.archive.org/web/20250126120532/https://effektiv-spenden.org/en/safeguarding-the-future/
excluded,MDP0046,Valhalla Foundation,filed_grant,10000000,USD,2024,,excluded,A payment to RAND is not a payment to METR. ProPublica /full HTML is a shell; XML is the primary.,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202502559349100000_public.xml
excluded,MDP0047,High Tide Foundation,filed_grant,333334,USD,2024,,excluded,A payment to RAND is not a payment to METR. Purpose text is as filed (tTHE).,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503179349100135_public.xml
excluded,MDP0048,individuals from Jane Street,commitment,undisclosed,,undated,,excluded,"METR names individuals, not the firm. No individual is named and no amount is public. This lane does not deanonymize Jane Street individuals.",https://metr.org/about
excluded,MDP0049,David Farhi; Geoff Ralston; Dylan Field; Steve Newman,commitment,undisclosed,,undated,,excluded,"Page appearance of a name is not a gift date (STATE.md). Individuals, employers and any DAF accounts stay unmerged. Wave 1 MD08 found no public gift amounts.",https://metr.org/blog/2026-08-14-funding-update/
excluded,MDP0050,AI Security Institute (UK),contract,undisclosed,,undated,,excluded,No public METR award amount on the about page. Contract is not a commitment.,https://metr.org/about
excluded,MDP0051,European AI Office,contract,undisclosed share of EUR 1167484,EUR,2025-12-15,,excluded,TED notice 864574-2025 GET returned HTTP 202 empty body this lane (cap). Consortium award; METR share not on the about page. EUR not USD.,https://metr.org/about
excluded,MDP0052,,in_kind_estimate,400000,USD,2026-08-26,,excluded,In-kind estimate is not a cash commitment. Date 2026-08-26 is after 2026-08-14.,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/
excluded,MDP0053,Coefficient Giving,paid_grant,,,2025-12,,excluded,"A staff suggestion to individual donors is not a Coefficient grant. Date of the note is 2025, before the window.",https://www.coefficientgiving.org/research/suggestions-for-individual-donors-from-coefficient-giving-staff-2025/
excluded,MDP0054,The Pew Charitable Trusts; Schmidt Sciences; Sijbrandij Foundation; LaCentra-Sumerlin Foundation; Astralis Foundation; Expa.org,,undisclosed,,,,excluded,"Wave 1 MD03-MD06 found no METR grant amounts. Packard is the exception and is counted once in C02, not here. Sibling Wave 1 may still be incomplete for MD09-MD13.",https://metr.org/about
remainder_statement,MDP0055,,commitment,350000,USD,2026-08-14,the last 6 months as of 2026-08-14,derived,"Denominator is ""around $71 million""; the working integer 71000000 is the round number in the sentence, not a certified exact total. Remainder therefore inherits ""around"". Listing-date period test for Packard is stated on C02. If a later review excludes Packard for lack of an instrument day, compatib",https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0056,,commitment,70650000,USD,,the last 6 months as of 2026-08-14,derived,This is not a finding that $70.65 million was raised from any named person. It is the arithmetic gap. Asking METR how it was composed is MD99 / S6 and is embargoed.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0062,,,,,2026-08-14,,derived,"Do not add around $71 million (commitment, last 6 months to 2026-08-14) to $13,639,155 (filed FY2024 total revenue, 2024-05-01 to 2024-12-31) or to the 2024 annual-report $10 million budget (calendar 2024). No combined commitment+filed total is stated.",https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0063,,,,,2026-09-16,,derived,"This row does not compute 71000000 minus 13639155 and does not treat that difference as unpaid remainder, cash, or 2026 receipts.",https://metr.org/blog/2026-08-14-funding-update/
excluded,MDP0481,Alignment Research Center,transfer,4477169,USD,2024-04-30,ARC FY2024,excluded,"A 2024 program spin-off transfer is not a 2026 commitment. Non-cash $76,766 is a different money_type (in_kind_estimate) and is not added here.",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
excluded,MDP0484,Jaan Tallinn,paid_grant,184000,USD,2024-12-06,,excluded,Three 2024 disbursements; not summed here with each other for the denominator test. A paid_grant is not a commitment. 2024 is before the window.,https://jaan.online/philanthropy/donations.csv
excluded,MDP0485,Open Philanthropy,recommendation,265000,USD,2022-03,,excluded,"Live Open Philanthropy grants index redirected (E06); Wayback id_ used because the live grant URL is gone with the rebrand, said so in this note.",https://web.archive.org/web/20240620191457id_/https://www.openphilanthropy.org/grants/alignment-research-center-general-support/
excluded,MDP0486,Open Philanthropy,recommendation,1250000,USD,2022-11,,excluded,"Not summed with the March 2022 $265,000 recommendation. Not a METR amount.",https://web.archive.org/web/20240620191457id_/https://www.openphilanthropy.org/grants/alignment-research-center-general-support-november-2022/
excluded,MDP0487,FTX Foundation,paid_grant,1250000,USD,2022,,excluded,"ARC receipt, not a METR receipt. Not summed with the Open Philanthropy November 2022 $1,250,000 recommendation.",https://www.alignment.org/funding-from-ftx/
excluded,MDP0488,Future of Life Institute,recommendation,1401000,USD,,,excluded,ARC Evals Team at ARC is not METR Inc.,https://futureoflife.org/grant/alignment-research-center/
excluded,MDP0489,Open Philanthropy,commitment,10000000,USD,2025-09,,excluded,"A gift to RAND is not a gift to METR. September 2025 is before the derived window. Live Open Philanthropy grants index redirected (E06); Wayback id_ used, said so in this note.",https://web.archive.org/web/20251025225511id_/https://www.openphilanthropy.org/grants/rand-corporation-ai-evaluation-and-testing/
remainder_statement,MDP0585,The David and Lucile Packard Foundation,commitment,350000,USD,2026-07-06,,derived,Listing date is not an instrument date; paid vs approved is not on the catalog page.,https://www.packard.org/grantee/model-evaluation-and-threat-research/
remainder_statement,MDP0586,The Audacious Project (TED),commitment,38000000,USD,2024-10-09,,derived,Live rand.org press page HTTP 403 this host; quote from r.jina.ai capture of the same URL.,https://www.rand.org/news/press/2024/10/09.html
remainder_statement,MDP0587,Alignment Research Center,transfer,4501424,USD,,,derived,"double-count risk: METR FY2024 RelatedOrganizationsAmt 4501424 (MDP0032 / MDF0034) and ARC FY2024 Schedule I CashGrantAmt 4477169 plus NonCashAssistanceAmt 76766 (MDF0064/MDF0065) describe the same program spin-off. They are different filed figures, not two payments. Recon excludes the transfer. Add",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
remainder_statement,MDP0588,Founders Pledge Inc,filed_grant,184000,USD,,,derived,"double-count risk across money types: 7 promoted rows carry 184000 (Founders Pledge filed_grant and/or Tallinn public ledger via FP-US). Recon excludes MDP0041 as filed_grant, not a 2026 commitment. Adding the ledger line to the 990 line would count one $184,000 twice and would mix recommendation/pa",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523079349303352_public.xml
remainder_statement,MDP0589,The David and Lucile Packard Foundation,commitment,350000,USD,2026-07-06,award year 2026; listing 2026-07-06 inside window,derived,No public signed-grant day on the catalog page or permalink this run.,https://www.packard.org/grantee/model-evaluation-and-threat-research/
remainder_statement,MDP0590,,filed_grant,13639155,USD,2024-12-31,FY2024 short year 2024-05-01 to 2024-12-31,derived,Blind spot: instrument dates not on catalog pages.,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
remainder_statement,MDP0591,The David and Lucile Packard Foundation,commitment,350000,USD,,,derived,Catalog page does not use the word commitment; payment status not determinable from this page.,https://www.packard.org/grantee/model-evaluation-and-threat-research/
remainder_statement,MDP0592,,commitment,70650000,USD,,,derived,"cross-type check: identified_compatible_total 350000 and unresolved_remainder 70650000 are both money_type=commitment and 350000+70650000=71000000 uses the working integer of 'around $71 million'. Excluded filed_grant, recommendation, transfer, regrant, contract, and in_kind_estimate rows are not su",https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0593,Vanguard Charitable Endowment Program,filed_grant,4000000,USD,,,derived,Public Schedule I HTML may be a JS shell; XML 404 on GT this pack; principal undisclosed.,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI
remainder_statement,MDP0594,,,,,,,derived,MD51 is out of this lane; gate item 8 requires both MD50 and MD51.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0595,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0596,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/about
remainder_statement,MDP0597,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0598,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://www.packard.org/grantee/model-evaluation-and-threat-research/
remainder_statement,MDP0599,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/about
remainder_statement,MDP0600,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI
remainder_statement,MDP0601,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://www.coefficientgiving.org/grants/
remainder_statement,MDP0602,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0603,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://apps.irs.gov/pub/epostcard/990/xml/2026/index_2026.csv
remainder_statement,MDP0604,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/about
remainder_statement,MDP0605,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/about
remainder_statement,MDP0606,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
remainder_statement,MDP0607,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/about
remainder_statement,MDP0608,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0609,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0610,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://metr.org/blog/2026-08-14-funding-update/
remainder_statement,MDP0611,,,,,,,derived,Gate remains closed until each listed correction is done or N/A-with-reason is recorded on the frontier.,https://apps.irs.gov/app/eos/
identified_compatible_total,MDP0030,,commitment,350000,USD,,,computed,sum of 1 compatible commitment-type USD component(s); no other money type included,https://metr.org/blog/2026-08-14-funding-update/
unresolved_remainder,,,commitment,70650000,USD,,,computed,"denominator (around 71000000) minus identified compatible total (350000); inherits 'around'; composition unknown from public sources checked; residual, not a donor list",https://metr.org/blog/2026-08-14-funding-update/
